X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
623;123;0.3246203;0.1141292;0.3246203;0.1141292;608.2;0.1655869;False;2025/10/25 16:30:56:169;1761381056169;;
630;131;0.3282236;0.1218204;0.3646926;0.1925508;606.9;0.1723801;False;2025/10/25 16:30:56:208;1761381056208;;
667;131;0.3475222;0.1218989;0.4500542;0.1360837;605.8;0.1723946;False;2025/10/25 16:30:56:232;1761381056232;;
692;131;0.3605864;0.1221478;0.4468146;0.1439407;604.8;0.1723878;False;2025/10/25 16:30:56:256;1761381056256;;
751;160;0.3913254;0.1488786;0.5113194;0.3079256;607.5;0.1885406;False;2025/10/25 16:30:56:281;1761381056281;;
790;174;0.4119319;0.1613147;0.5143337;0.2798017;609.9;0.1886392;False;2025/10/25 16:30:56:304;1761381056304;;
852;258;0.4442338;0.2389939;0.5127792;0.3916073;609.5;0.2375834;False;2025/10/25 16:30:56:387;1761381056387;;
866;269;0.4513474;0.2496791;0.5131806;0.3602141;609.0;0.230112;False;2025/10/25 16:30:56:410;1761381056410;;
877;279;0.4571686;0.2585156;0.5132411;0.3600613;608.7;0.2298121;False;2025/10/25 16:30:56:434;1761381056434;;
829;462;0.4321662;0.4285836;0.3931147;0.5406812;611.1;0.2629382;False;2025/10/25 16:30:57:256;1761381057256;;
847;482;0.4415293;0.4469618;0.4973694;0.6099336;613.3;0.2480327;False;2025/10/25 16:30:57:284;1761381057284;;
858;494;0.4471402;0.4577848;0.4959609;0.6041553;615.3;0.242339;False;2025/10/25 16:30:57:305;1761381057305;;
890;491;0.4637699;0.4555509;0.5433695;0.4317841;623.8;0.2548125;False;2025/10/25 16:30:57:333;1761381057333;;
909;486;0.4736856;0.4504568;0.544347;0.3948294;631.5;0.2519095;False;2025/10/25 16:30:57:354;1761381057354;;
929;480;0.4841791;0.4445342;0.5543479;0.3836347;638.3;0.256664;False;2025/10/25 16:30:57:376;1761381057376;;
964;477;0.5022279;0.44228;0.5763651;0.4158991;634.6;0.2456758;False;2025/10/25 16:30:57:413;1761381057413;;
984;477;0.5125465;0.4424204;0.5838329;0.4504535;631.2;0.248203;False;2025/10/25 16:30:57:436;1761381057436;;
983;478;0.5122499;0.4430892;0.4979486;0.4512236;632.1;0.2745101;False;2025/10/25 16:30:57:792;1761381057792;;
990;479;0.5157529;0.4441187;0.5582566;0.4871462;633.0;0.2597635;False;2025/10/25 16:30:57:813;1761381057813;;
994;479;0.5181024;0.4441456;0.5533659;0.4575981;633.7;0.2598792;False;2025/10/25 16:30:57:834;1761381057834;;
969;609;0.5049689;0.5646281;0.4538424;0.7367894;644.9;0.2931896;False;2025/10/25 16:30:57:928;1761381057928;;
961;631;0.5006661;0.5849993;0.4470314;0.7132278;655.0;0.2752632;False;2025/10/25 16:30:57:957;1761381057957;;
954;649;0.4970143;0.6012741;0.447152;0.7131814;664.1;0.2734811;False;2025/10/25 16:30:57:988;1761381057988;;
952;520;0.4962328;0.4817275;0.4894453;0.3790561;664.0;0.2645995;False;2025/10/25 16:30:58:464;1761381058464;;
952;514;0.4963112;0.4768491;0.4998498;0.38101;663.9;0.2494723;False;2025/10/25 16:30:58:488;1761381058488;;
952;509;0.4963533;0.4716611;0.4985121;0.3768666;663.8;0.2445047;False;2025/10/25 16:30:58:518;1761381058518;;
953;510;0.496384;0.4730992;0.4968856;0.4784164;661.7;0.2625388;False;2025/10/25 16:30:58:868;1761381058868;;
952;523;0.4961308;0.4844692;0.4820024;0.5928568;659.8;0.252466;False;2025/10/25 16:30:58:888;1761381058888;;
952;531;0.4959702;0.4919411;0.4841306;0.5787959;658.1;0.2529677;False;2025/10/25 16:30:58:911;1761381058911;;
952;520;0.4960304;0.4821787;0.499506;0.3984875;655.4;0.2681773;False;2025/10/25 16:30:58:948;1761381058948;;
952;517;0.4960794;0.4789035;0.5006622;0.4122039;652.9;0.2715857;False;2025/10/25 16:30:58:970;1761381058970;;
952;510;0.4960847;0.4727019;0.4970893;0.3915439;647.3;0.2591344;False;2025/10/25 16:30:58:999;1761381058999;;
952;492;0.4961409;0.4563095;0.5009912;0.3286652;642.3;0.2548467;False;2025/10/25 16:30:59:27;1761381059027;;
